tic id,toi,tfopwg disposition,sectors
382626661,283.01,CP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,64,65,67,68"
150030205,286.01,CP,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68"
150030205,286.02,CP,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69"
188570092,294.01,CP,"2,42"
327952677,295.01,KP,"2,29,69,70"
145750719,303.01,KP,"2,29,42"
114749636,306.01,KP,"2,29,69"
169765334,329.01,CP,"29,42,69,70"
139285832,332.01,CP,"1,2,28"
224245334,333.01,CP,"29,69"
116156517,338.01,KP,"2,29"
228381868,351.01,KP,"29,69"
422655579,388.01,KP,"4,42,43,70"
382391899,391.01,KP,"4,31"
178155732,396.01,CP,"4,30,31"
178155732,396.02,CP,"3,4,30,31"
178155732,396.03,CP,"4,30,31"
1129033,398.01,KP,"4,31"
35857242,400.01,KP,"4,31"
120896927,402.01,CP,"3,4,30"
120896927,402.02,CP,"3,4,30"
257567854,403.01,KP,4
166833457,404.01,KP,"4,31"
153065527,406.01,CP,"3,4,30,31"
153065527,406.02,CP,"3,4,30,31"
100990000,411.01,CP,"3,4,30,31,97"
100990000,411.02,CP,"3,4,30,31,97"
170634116,413.01,KP,"4,5,31,32"
152476657,415.01,KP,"4,5,30,31"
178284730,418.01,KP,"4,5,31"
94986319,421.01,CP,"5,6,32"
94986319,421.02,CP,"5,6,32"
43647325,423.01,KP,"5,32"
31374837,431.01,CP,"5,6,32"
31374837,431.02,CP,"5,6,32"
78055054,434.01,KP,"5,6,32"
13021029,439.01,KP,"5,32"
70899085,442.01,CP,"5,32"
117979897,443.01,KP,"5,32"
179034327,444.01,CP,"4,5,31,32"
139528693,449.01,KP,"5,31,32"
257605131,451.01,CP,"4,5,31"
257605131,451.02,CP,"4,5,31"
257605131,451.03,CP,"4,5,31"
139733308,452.01,KP,"5,32"
452808876,453.01,KP,5
98796344,455.01,CP,"4,31"
4646810,461.01,CP,"4,31"
270380593,465.01,KP,"4,31,42,43,70,71"
4616072,466.01,KP,"6,7,33"
33692729,469.01,CP,"6,33"
37770169,470.01,CP,"6,33"
47911178,471.01,KP,"6,33"
52640302,473.01,KP,"6,7,33,34"
59843967,474.01,KP,"6,33"
170102285,477.01,KP,"6,34,61"
306362738,479.01,KP,"6,33"
317548889,480.01,CP,"6,33"
339672028,481.01,CP,"3,6,7,9,10,13,27,30,33,34,35,36,37,61,62,63,67,68,69"
393414358,483.01,KP,"6,7,32,33"
260708537,486.01,CP,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89"
452866790,488.01,CP,"7,34,61"
455096220,489.01,KP,"7,34"
455135327,490.01,KP,"7,34,61"
468987719,491.01,KP,"7,34,44,45,46,61,72"
17746821,492.01,KP,"7,34,44,45,46,71,72"
22529346,495.01,KP,"7,33,34,61"
134200185,500.01,CP,"6,7,8,33,34,35,61"
134537478,501.01,KP,"7,33,34,61"
186812530,503.01,CP,"7,34,44,45,46,71"
268644785,505.01,KP,"7,9,34,35,36"
425206121,508.01,KP,"7,33"
453211454,509.01,CP,"7,34,46,71,72"
453211454,509.02,CP,"7,34,46,71,72"
440777904,511.01,KP,"7,33,44,45,46,71,72"
119292328,512.01,CP,"6,7,33"
27649847,521.01,CP,"7,34,44,45,46,71,72"
144700903,532.01,CP,"6,71,72"
200322593,540.01,CP,"4,5,6,31,32"
50618703,544.01,CP,"6,32"
407966340,554.01,CP,"5,32,43,44,70,71"
407966340,554.02,CP,"5,32,43,44,70,71"
207110080,558.01,CP,"2,3,29,30"
209459275,559.01,CP,"4,31"
101011575,560.01,CP,"8,34,61"
101011575,560.02,CP,"8,34,61"
377064495,561.01,CP,"8,35,45,46,72"
377064495,561.02,CP,"8,35,45,46,72"
377064495,561.03,CP,"8,35,45,46,72"
377064495,561.04,CP,"8,35,45,46,72"
413248763,562.01,CP,"8,35,62"
1003831,564.01,CP,"8,34,61"
13349647,567.01,KP,"8,34,61"
123482865,569.01,CP,"7,8,34,35"
270468559,571.01,KP,"8,34,44,45,46,61,72"
315002523,574.01,KP,"8,9,35,62"
408310006,576.01,CP,"8,35,62"
423275733,578.01,KP,"8,35"
262746281,603.01,CP,"8,35,45,46,61,72"
190496853,615.01,CP,"8,9,35,62"
296739893,620.01,CP,"8,35,62"
83092282,622.01,CP,"8,9,34,35,61,62"
399870368,624.01,CP,"5,32,71"
379929661,625.01,CP,"7,34,61"
65412605,626.01,CP,"7,33,34,61"
281408474,628.01,CP,6
293853437,629.01,CP,"6,33"
147977348,640.01,CP,"6,7,33,34"
22221375,652.01,CP,"9,35,62"
35009898,654.01,CP,"9,36,45,46,62,72"
35516889,655.01,KP,"9,36,62,63"
36734222,656.01,KP,"9,35,62"
48103627,657.01,CP,"9,35,36"
53189332,660.01,KP,"9,36,45,46,72"
53735810,661.01,KP,"9,36,63"
54962195,663.01,CP,"9,35,62"
54962195,663.02,CP,"9,35,62"
54962195,663.03,CP,"9,35,62"
55092869,664.01,KP,"9,62"
101955023,667.01,KP,"9,10,36"
124573851,669.01,CP,"9,35,62"
151825527,672.01,CP,"9,10,36,63"
158588995,674.01,CP,"9,10,36,63"
169226822,675.01,KP,"9,35,46,62,72"
280206394,677.01,CP,"9,10,35,36,62,63"
429304876,682.01,CP,"9,36,63"
437248515,683.01,KP,"9,36,63"
281731203,685.01,KP,"9,35,45,46,72"
77156829,696.01,CP,"4,5,31,32"
77156829,696.02,CP,"4,5,31,32"
77156829,696.03,CP,"4,5,31,32"
150428135,700.01,CP,"1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,33,34,35,36,37,38,61,62,63,64,65,66,68,69"
150428135,700.02,CP,"1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,33,34,35,36,37,38,61,62,63,64,65,66,68,69"
150428135,700.03,CP,"1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,33,34,35,36,37,38,61,62,63,64,65,66,68,69"
150428135,700.04,CP,"1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,33,34,35,36,37,38,61,62,63,64,65,66,68,69"
260004324,704.01,CP,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,64,65,66,67,68,69"
150151262,712.01,CP,"3,4,5,6,7,9,10,11,13,27,29,30,31,32,33,34,36,37,39,61,62,63,64,65,66,67"
150151262,712.02,CP,"3,4,5,6,7,9,10,11,13,27,29,30,31,32,33,34,36,37,39,61,62,63,64,65,66,67"
150151262,712.04,CP,"3,4,5,6,7,9,10,11,13,27,29,30,31,32,33,34,36,37,39,61,62,63,64,65,66,67"
34068865,731.01,CP,"9,35,36,62"
36724087,732.01,CP,"9,35,62"
36724087,732.02,CP,"9,35,62"
106402532,733.01,CP,"9,36,63"
359271092,741.01,CP,"9,10,36,37,62"
437242640,744.01,KP,"9,36,63"
15445551,747.01,KP,"10,11,37"
104024556,748.01,KP,"10,37,64"
14661418,751.01,KP,"10,36,63"
61538902,752.01,KP,"10,37,63,64"
73228647,755.01,CP,"10,37,64"
73228647,755.02,KP,"10,37,64"
73649615,756.01,CP,"10,11,37,64"
130924120,757.01,CP,"10,37,64"
178819686,763.01,CP,"10,37,64"
178819686,763.02,CP,"10,37,64"
219698950,766.01,KP,"10,36,63"
229047362,767.01,KP,10
248075138,769.01,KP,"10,37"
248111245,770.01,KP,"10,11,37"
277634430,771.01,CP,"10,11,12,37,38"
286865921,773.01,KP,"10,37"
294301883,774.01,KP,"10,37,91"
306996324,776.01,CP,"10,37,63"
306996324,776.02,CP,"10,37,63"
335630746,778.01,CP,"10,37,46"
398943781,780.01,KP,"10,37"
413376180,781.01,KP,"10,36,63"
429358906,782.01,CP,"10,36,63"
460984940,784.01,CP,"10,11,37,38,63"
55525572,813.01,CP,"4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65"
102840239,815.01,CP,"9,36,63"
102840239,815.02,CP,"9,36,63"
46096489,818.01,KP,11
73717937,819.01,KP,"10,11,37"
111991770,820.01,KP,11
127530399,822.01,KP,"11,38,65"
127530399,822.02,CP,"11,38"
193641523,824.01,CP,"11,12,38,65"
220029715,825.01,KP,"11,37,64"
243200602,826.01,KP,"11,37,64"
271168962,828.01,KP,"11,64"
362249359,833.01,CP,"9,10,11,36,37,63,64"
404340025,834.01,KP,"11,37,38,64"
440887364,836.01,CP,"11,38"
440887364,836.02,CP,"11,38"
460205581,837.01,CP,"10,11,37,38,63"
437333618,843.01,KP,"11,37,64"
33595516,849.01,CP,3
404467699,857.01,KP,"3,30"
198008005,858.01,CP,"3,4,29,30,31,69"
219344917,871.01,CP,"4,5,6,31,32"
34077285,880.02,CP,"33,87"
66561343,892.01,CP,"6,33"
261257684,904.01,CP,"12,13,27,38,39"
261257684,904.02,CP,"12,13,27,38,39,61,65,66,67"
261867566,905.01,CP,"12,38,39,65,66"
305424003,907.01,CP,"12,39"
350153977,908.01,CP,"1,12,13,27,28,39,66,67,68"
369327947,910.01,CP,"12,13,27,39,66,67"
406941612,912.01,CP,"12,13,39,65,66"
407126408,913.01,CP,"12,13,65,66"
146520535,942.01,CP,5
44792534,954.01,CP,"4,5,31"
178367144,966.01,KP,"7,34,61"
280437559,969.01,CP,"7,34"
16288184,1049.01,KP,"12,39,91"
66818296,1050.01,KP,"12,38"
317060587,1052.01,CP,"1,13"
366989877,1054.01,CP,"13,27,67"
320004517,1055.01,CP,"13,27,67"
299799658,1062.01,CP,"1,13,27,28,66,67,68"
79748331,1064.01,CP,"13,27,67"
79748331,1064.02,CP,"13,27,67"
201604954,1066.01,KP,13
31858843,1069.01,KP,"13,27,67"
120247528,1071.01,KP,"13,66"
351601843,1075.01,CP,"13,27,67"
360742636,1076.01,KP,"13,27,67"
370133522,1078.01,CP,"13,27,67"
380589029,1084.01,KP,"13,39,66"
360630575,1097.01,CP,"11,12,38,39"
360630575,1097.02,CP,"38,39"
383390264,1098.01,CP,"12,13,27,65,66,67"
290348383,1099.01,CP,"13,27,67"
394561119,1107.01,CP,"11,12,13,38,39,65,66"
254113311,1130.01,CP,"13,27,67"
254113311,1130.02,CP,"13,27,67"
154872375,1135.01,CP,"14,19,20,21,26,40,47,53,59,74,79,86"
142276270,1136.01,CP,"14,15,21,22,41,48,75"
142276270,1136.02,CP,"14,15,21,22,41,48,75"
142276270,1136.03,CP,"14,15,21,22,41,48,75"
142276270,1136.04,CP,"14,15,21,22,41,48"
28230919,1144.01,KP,"14,15,41,54,55,56,74,75,76,82"
349827430,1148.01,KP,"14,20,21,40,41,47,48,60,74,75"
16740101,1150.01,KP,"14,15,41,55,75"
69679391,1151.01,KP,"14,40,41,54,74"
158324245,1161.01,KP,"14,15,26,40,41,53,54,55,74,75,80,82"
458478250,1165.01,KP,"14,15,16,17,21,23,41,47,48,49,50,54,57,74"
232967440,1173.01,CP,"14,15,21,22,41,47,48,74"
154089169,1174.01,CP,"14,15,21,22,41,48,49,74,75"
158002130,1180.01,CP,"14,19,20,21,26,40,41,47,48,53,59,60,73,74,75,79"
229510866,1181.01,CP,"14,15,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,73,74,75,76,77,78,79,81,82"
233087860,1184.01,CP,"14,15,16,17,18,19,20,21,22,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,73,75,76,77,78,79,80,81,82"
147950620,1194.01,CP,"14,20,21,40,41,47,48,74,75"
203189770,1198.01,KP,"14,15,41,55,75"
99869022,1199.01,CP,"14,21,41,48,75"
29960110,1201.01,CP,"4,31"
23434737,1203.01,CP,"9,10,36,63"
349095149,1221.01,CP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,37,38,39,61,62,63,64,65,66,67,68,69"
299798795,1224.01,CP,"1,13,27,28,39,66,67,68"
299798795,1224.02,CP,"1,13,27,28,39,66,67,68"
300038935,1228.01,CP,"1,2,3,4,5,6,7,8,9,10,11,12,13,28,29,30,31,32,33,34,35,36,38,39,61,62,63,64,65,66,67,68"
287156968,1230.01,CP,"11,12,13,27,38,39,65,66,67"
447061717,1231.01,CP,"9,10,36,37,63"
260647166,1233.01,CP,"10,11,37"
260647166,1233.02,CP,"10,11,37"
260647166,1233.03,CP,"10,11,37"
260647166,1233.04,CP,"10,11,37"
103633434,1235.01,CP,"14,20,21,40,41,47,60,74"
120757718,1236.01,KP,"14,40,41,53,54"
120960812,1237.01,KP,"14,40,41,53,54"
120960812,1237.02,KP,"14,40,41,53,54"
153951307,1238.01,CP,"14,15,21,22,41,49,74,76"
153951307,1238.02,CP,"14,15,21,22,41,49,74,76"
154716798,1239.01,CP,"14,20,26,40,47,53,59"
219698776,1243.01,CP,"14,20,40,47,53,60"
219850915,1244.01,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,59"
230127302,1246.01,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55"
230127302,1246.02,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55,56,57,58,59,60"
230127302,1246.03,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55,56,57,58,59,60"
230127302,1246.04,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55,56,57,58,59,60"
232540264,1247.01,CP,"14,15,16,20,21,22,26,40,41,47,49,53,56,60,74"
232612416,1248.01,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,55,56,58,59"
232976128,1249.01,CP,"14,15,21,22,41,48,49,75"
237222864,1255.01,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55,56,57,58,59,60,73,74,75,77,78,79,80,81,83,84,85,86"
278348461,1257.01,KP,"14,41,54,55"
288735205,1259.01,CP,"14,17,18,19,20,21,24,25,26,40,41,47,48,50,51,52,53,54,55,58,59,60"
355867695,1260.01,CP,"14,21,41,47,48"
355867695,1260.02,CP,"14,21,41,47,48"
355867695,1260.03,CP,"14,21,41,47,48"
424865156,1265.01,KP,"14,15,40,41,54,55,74,75,81,82"
467179528,1266.01,CP,"14,15,21,22,41,48,49"
467179528,1266.02,CP,"14,15,21,22,41,48,49"
158561566,1267.01,KP,"14,15,26,40,41,53,54,55"
142394656,1268.01,CP,"15,21,22,41,48,49,75"
198241702,1269.01,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60"
286923464,1271.01,KP,"15,16,22,49"
417948359,1272.01,CP,"15,16,22,49"
445859771,1273.01,CP,"15,16,22,23,48,50"
163539739,1278.01,CP,"15,55,56"
224297258,1279.01,CP,"15,21,22,41,48,49"
236445129,1282.01,KP,"15,41,55"
266593143,1283.01,KP,"15,55,56,82"
365733349,1288.01,CP,"15,16,17,18,24,56,57,58,76,77,78"
417676622,1290.01,KP,"14,15,40,41,54,55,74,75,80,81,82"
219015370,1294.01,CP,"14,15,16,20,21,22,40,41,47,48,49"
219852584,1295.01,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55"
219854185,1296.01,CP,"14,15,16,17,18,19,20,22,23,24,25,26,40,47,48,49,50,52,53,54,55,56,57,58,59,60"
237104103,1298.01,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,59,60"
293687315,1300.01,KP,"15,16,22,23,48,50,75,77"
356867115,1301.01,CP,"14,15,16,17,18,19,20,21,23,24,25,26,40,41,47,48,49,50,51,53,54,55,56,57,58,60"
395171208,1333.01,CP,"15,16,56"
160708862,1337.01,KP,"11,38,65"
260128333,1338.01,CP,"4,5,6,7,8,9,10,11,12,27,28,29,30,31,32,34,35,36,37,38,39"
269701147,1339.01,CP,"15,16,17,18,19,21,22,24,25,41,48,49,51,52,55,56,59,60,73,75,76,77,78,79,82,83,85,86"
269701147,1339.02,CP,"15,16,17,18,19,21,22,24,25,41,48,49,51,52,55,56,59,60,73,75,76,77,78,79,82,83,85,86"
269701147,1339.03,CP,"15,16,17,18,19,21,22,24,25,41,48,49,51,52,55,56,59,60,73,75,76,77,78,79,82"
219852882,1346.01,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54"
219852882,1346.02,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54"
229747848,1347.01,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55,56,57,58,59,60"
229747848,1347.02,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55,56,57,58,59,60"
176899385,1373.01,KP,"16,17,57,84"
343019899,1386.01,CP,"16,17,56,57,76,77,83,84"
346338552,1388.01,KP,"16,56,57,83,84"
231736113,1406.01,CP,"4,5,6,31,32,33"
69747919,1407.01,KP,"2,28"
364186197,1408.01,CP,"16,17,18,19,24,25,52,57,58,59,73,76,77,78,79,84,85,86"
364186197,1408.02,KP,"16,17,18,19,24,25,52,57,58,59,73,76,77,78,79"
199444169,1410.01,CP,"16,56"
116483514,1411.01,CP,"16,23,24,50,51,77,78"
158025009,1416.01,CP,"16,23,50,77"
164173105,1417.01,CP,"16,56"
311035838,1419.01,KP,"16,22,49"
321857016,1420.01,CP,"16,24,56"
333473672,1422.01,CP,"16,17,57"
293954617,1430.01,CP,"14,15,16,41,54,55,56,75,76,81,82"
375506058,1431.01,CP,"15,16,55,56,57,76,77,82"
198356533,1437.01,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,73,74,75,76,77,78,79,80,81,82,83,13112,50"
229650439,1438.01,CP,"14,15,16,17,18,19,20,21,23,24,25,26,40,41,47,48,49,50,51,53,54,55,56,57,58,60,73,74,75,76,78,79,80,81,83,84,85"
229650439,1438.02,CP,"14,15,16,17,18,19,20,21,23,24,25,26,40,41,47,48,49,50,51,53,54,55,56,57,58,60,73,74,75,76,78,79,80,81,83,84,85"
232982558,1439.01,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,73,74,75,76,77,78,79,80,81,82,83,13112,50,86"
235683377,1442.01,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55"
237232044,1443.01,CP,"14,16,17,18,19,20,23,24,25,26,40,47,49,50,52,53,54,57,58,59,60,73,74,76,77,78,79,80,84,85,86"
258514800,1444.01,CP,"15,16,17,18,19,22,24,25,26,49,52,56,57,58,59,60,73,76,77,78"
377293776,1450.01,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55"
417931607,1451.01,CP,"14,15,21,22,41,48,75"
420112589,1452.01,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,54,55,56,57,58,59,60"
198390247,1453.01,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,56,57,59,60,73,74,75,76,77,78,79,80,81,82,83,84,85,86"
198390247,1453.02,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,56,57,59,60,73,74,75,76,77,78,79,80,81,82,83"
199376584,1456.01,CP,"14,15,41,55,75,81,82"
191284318,1458.01,KP,"17,57,84"
188768068,1462.01,CP,"17,20,24,25,26,40,47,50,51,53,54,57,60,74"
190998418,1463.01,KP,"17,57"
236887394,1465.01,KP,"15,16,17,18,21,24,25,41,48,51,55"
240968774,1467.01,CP,"17,18,58"
243185500,1468.01,CP,"17,42,43"
243185500,1468.02,CP,"17,42,43"
283722336,1469.01,KP,"17,24,57,77,84"
283722336,1469.02,KP,"17,24,57,77,84"
284441182,1470.01,CP,"17,18,24,58"
306263608,1471.01,CP,"17,42,43,70"
306263608,1471.02,CP,"17,42,43,70"
306955329,1472.01,CP,"17,57,58"
352413427,1473.01,CP,"17,57,84"
432549364,1476.01,KP,"17,57,84"
240681314,1477.01,KP,"17,57"
409794137,1478.01,CP,"7,8,34,61"
15692883,1493.01,CP,"17,57,84"
411608801,1494.01,CP,"17,42,57"
376637093,1516.01,CP,"17,18,24,25,57,58,77,78"
427761355,1518.01,CP,"17,18,57,58"
299158887,1554.01,KP,"14,15,40,41,53,54,55"
302773669,1573.01,KP,"18,19,25,52,59,73,79"
354469661,1580.01,KP,"18,58,85"
129979528,1599.01,KP,"18,58"
139375960,1601.01,CP,18
73448352,1603.01,KP,"18,58,85"
101037590,1605.01,CP,"18,58"
264678534,1611.01,CP,"18,19,20,25,26,40,52,53,58,59,60,73,78,79,85,86"
